Country name,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score
Liberia,7.277,0.596,56.7,0.735,0.154,0.83,4.042
India,8.759,0.608,60.777,0.897,0.072,0.774,4.036
Madagascar,7.29,0.65,58.05,0.522,0.075,0.742,4.019
Zambia,8.074,0.694,55.032,0.791,0.098,0.818,3.982
Tanzania,7.857,0.653,59.401,0.838,0.182,0.554,3.694
Comoros,8.075,0.471,59.425,0.47,-0.014,0.727,3.545
Malawi,7.302,0.531,58.475,0.75,0.005,0.749,3.495
Botswana,9.629,0.753,54.725,0.742,-0.215,0.83,3.435
Congo (Kinshasa),7.007,0.652,55.375,0.664,0.086,0.834,3.207
Zimbabwe,7.641,0.69,54.05,0.654,-0.046,0.766,3.204
Sierra Leone,7.394,0.555,54.9,0.66,0.105,0.858,3.138
Lebanon,9.478,0.53,66.149,0.474,-0.141,0.891,2.392
Afghanistan,7.324,0.341,54.712,0.382,-0.081,0.847,1.859
